restaurant_id,restaurant_name,zone,cuisine_type,avg_prep_time_mins,rating,is_premium,lat,lng
REST_0024,Spice Kitchen 24,Koramangala,Italian,10,4.8,1,12.910629,77.547601
REST_0025,Fresh Bowl 25,Sarjapur Road,Chinese,31,4.9,1,12.970901,77.656924
REST_0026,Fresh Bites 26,Hebbal,South Indian,29,3.9,0,12.963537,77.593405
REST_0027,Spice Kitchen 27,Indiranagar,Desserts,31,3.7,0,13.029251,77.549731
REST_0028,Tasty Grill 28,Jayanagar,Chinese,21,3.4,0,12.969394,77.674897
REST_0029,Quick Bowl 29,HSR Layout,South Indian,9,4.3,0,12.981088,77.502952
REST_0030,Fresh Express 30,HSR Layout,Desserts,23,4.0,0,13.029698,77.680489
REST_0031,Green Kitchen 31,Marathahalli,Desserts,16,4.9,1,12.942787,77.639318
REST_0032,Quick Express 32,Basavanagudi,Italian,17,3.4,0,12.908772,77.647147
REST_0033,Desi Kitchen 33,Indiranagar,North Indian,26,4.0,0,13.037908,77.606225
REST_0034,Tasty Bites 34,Indiranagar,Chinese,10,4.2,0,13.001282,77.547041
REST_0035,Hungry Corner 35,Whitefield,Thai,27,3.1,0,12.912298,77.631475
REST_0036,Tasty Palace 36,MG Road,Fast Food,14,4.3,0,12.947128,77.553123
REST_0037,Urban Grill 37,Electronic City,Biryani,32,4.9,0,12.993174,77.612599
REST_0038,Spice Bowl 38,Whitefield,Italian,24,3.5,0,13.039989,77.676173
REST_0039,Desi Hub 39,BTM Layout,Chinese,22,4.7,1,12.991752,77.697447
REST_0040,Royal Bowl 40,Bommanahalli,Fast Food,29,3.2,0,13.031719,77.552893
REST_0041,Tasty Express 41,Whitefield,Fast Food,17,4.2,0,13.007642,77.540719
REST_0042,Tasty Grill 42,Yelahanka,Fast Food,35,3.1,0,12.995143,77.66587
REST_0043,Royal Palace 43,Indiranagar,Chinese,28,5.0,0,12.966275,77.641133
REST_0044,Royal Bites 44,Basavanagudi,South Indian,30,4.8,1,13.025189,77.616502
REST_0045,Green Express 45,Electronic City,North Indian,17,3.7,0,13.039963,77.694439
REST_0046,Desi Corner 46,Indiranagar,Italian,29,3.2,0,13.017017,77.676827
REST_0047,Hungry Express 47,Hebbal,Italian,35,3.3,0,13.019983,77.53541
REST_0048,Royal Express 48,Hebbal,Biryani,33,4.9,1,13.02961,77.66215
REST_0049,Golden Bites 49,Yelahanka,Desserts,35,3.1,0,12.970604,77.539915
REST_0050,Desi Hub 50,Bellandur,Italian,15,3.0,0,12.928969,77.565652
REST_0051,Urban Palace 51,HSR Layout,Street Food,20,4.4,0,13.026549,77.56623
REST_0052,Spice Hub 52,Koramangala,Chinese,26,4.9,0,12.91626,77.586913
REST_0053,Green Dhaba 53,JP Nagar,Street Food,11,3.8,0,12.986488,77.550945
REST_0054,Royal Bowl 54,Hebbal,Street Food,29,4.4,0,13.011293,77.634126
REST_0055,Green Bites 55,Malleshwaram,Biryani,27,3.6,0,13.027202,77.643951
REST_0056,Tasty Hub 56,Banashankari,Desserts,18,3.8,0,12.944348,77.525458
REST_0057,Green Express 57,Hebbal,Thai,26,3.6,0,12.982191,77.500081
REST_0058,Fresh Cafe 58,Banashankari,Thai,27,4.3,0,12.969748,77.588432
REST_0059,Tasty Grill 59,Jayanagar,Chinese,29,3.2,0,12.977318,77.626588
REST_0060,Spice Corner 60,JP Nagar,Fast Food,15,4.6,0,12.906932,77.696787
REST_0061,Spice Grill 61,Brigade Road,Desserts,28,4.2,0,13.007752,77.576796
REST_0062,Fresh Express 62,Rajajinagar,North Indian,32,4.7,1,13.016763,77.543768
REST_0063,Quick Kitchen 63,Bommanahalli,Street Food,15,4.8,0,12.920001,77.592929
REST_0064,Tasty Dhaba 64,Bommanahalli,Biryani,32,4.8,1,13.007891,77.600956
REST_0065,Quick Express 65,Basavanagudi,Continental,22,3.5,0,12.937086,77.627532
REST_0066,Quick Corner 66,Bommanahalli,Fast Food,22,3.2,0,12.942859,77.554343
REST_0067,Tasty Bites 67,JP Nagar,Chinese,12,3.5,0,13.004092,77.641284
REST_0068,Green Cafe 68,HSR Layout,Biryani,25,3.9,0,12.90934,77.666578
REST_0069,Hungry Kitchen 69,Rajajinagar,Thai,20,4.0,0,13.041411,77.559723
REST_0070,Green Bowl 70,Rajajinagar,Street Food,33,4.2,0,12.933081,77.543884
REST_0071,Quick Kitchen 71,Hebbal,Desserts,18,4.3,0,13.019721,77.644836
REST_0072,Golden Dhaba 72,Bellandur,Street Food,8,4.8,1,12.99945,77.516789
REST_0073,Golden Grill 73,Hebbal,Chinese,9,3.5,0,12.949103,77.59094
REST_0074,Green Hub 74,JP Nagar,Desserts,16,4.7,0,13.012354,77.510417
REST_0075,Fresh Bites 75,Malleshwaram,North Indian,32,3.1,0,12.937092,77.667846
REST_0076,Golden Corner 76,Brigade Road,Chinese,23,4.3,0,12.984595,77.543593
REST_0077,Desi Express 77,Yelahanka,Thai,27,4.9,1,13.016669,77.532753
REST_0078,Spice Dhaba 78,Banashankari,North Indian,17,4.2,0,13.036204,77.575061
REST_0079,Spice Dhaba 79,Jayanagar,Italian,11,4.4,0,12.945237,77.636852
REST_0080,Hungry Kitchen 80,Whitefield,Biryani,25,3.9,0,12.955586,77.601192
REST_0081,Royal Cafe 81,JP Nagar,Continental,11,3.9,0,12.954328,77.678315
REST_0082,Golden Cafe 82,Bellandur,Chinese,31,4.0,0,12.997569,77.623182
REST_0083,Quick Grill 83,Basavanagudi,Desserts,34,4.5,0,13.027757,77.666146
REST_0084,Urban Grill 84,HSR Layout,Italian,32,3.9,0,12.99155,77.575798
REST_0085,Quick Palace 85,Koramangala,Chinese,23,3.4,0,13.019675,77.568068
REST_0086,Urban Bowl 86,Brigade Road,North Indian,24,4.9,0,13.008011,77.597716
REST_0087,Quick Grill 87,BTM Layout,Continental,33,3.0,0,12.944135,77.58088
REST_0088,Urban Dhaba 88,BTM Layout,Biryani,23,4.1,0,12.951564,77.699326
REST_0089,Desi Palace 89,Basavanagudi,Continental,16,3.6,0,12.934581,77.644257
REST_0090,Spice Bowl 90,JP Nagar,Chinese,14,3.4,0,12.97263,77.644917
REST_0091,Hungry Hub 91,Bommanahalli,South Indian,34,3.4,0,12.934122,77.535888
REST_0092,Tasty Express 92,Koramangala,Fast Food,9,4.9,1,13.004613,77.525256
REST_0093,Spice Kitchen 93,Sarjapur Road,Thai,17,3.9,0,12.96607,77.536873
REST_0094,Urban Grill 94,Indiranagar,South Indian,34,3.1,0,12.973762,77.615404
REST_0095,Golden Express 95,Indiranagar,Thai,17,3.2,0,12.937229,77.611615
REST_0096,Hungry Dhaba 96,Hebbal,Thai,15,4.6,0,13.036276,77.559471
REST_0097,Green Hub 97,MG Road,Thai,27,3.1,0,13.044016,77.519847
REST_0098,Fresh Hub 98,Jayanagar,South Indian,13,3.5,0,12.982799,77.531307
REST_0099,Quick Dhaba 99,Hebbal,Continental,17,3.1,0,12.943216,77.556544
REST_0100,Spice Corner 100,Bellandur,Fast Food,33,4.6,1,13.020586,77.539564
REST_0101,Tasty Corner 101,Whitefield,Chinese,16,4.7,0,12.924888,77.561522
REST_0102,Urban Grill 102,MG Road,South Indian,22,4.4,0,13.00496,77.688535
REST_0103,Tasty Grill 103,Bommanahalli,Continental,10,4.2,0,13.033413,77.646907
REST_0104,Urban Kitchen 104,Brigade Road,South Indian,15,4.9,1,12.98628,77.690157
REST_0105,Hungry Kitchen 105,Yelahanka,Chinese,23,4.0,0,12.966334,77.555631
REST_0106,Green Grill 106,MG Road,South Indian,23,3.7,0,12.949996,77.634027
REST_0107,Desi Cafe 107,Marathahalli,Continental,17,4.3,0,12.960068,77.6521
REST_0108,Quick Bites 108,Indiranagar,Biryani,16,3.6,0,13.045528,77.580835
REST_0109,Royal Bowl 109,Bommanahalli,Continental,21,3.1,0,12.977766,77.624527
REST_0110,Quick Kitchen 110,Sarjapur Road,Italian,16,4.1,0,13.039151,77.587623
REST_0111,Spice Kitchen 111,Sarjapur Road,Thai,33,3.5,0,12.923757,77.610168
REST_0112,Green Bites 112,Basavanagudi,Italian,34,4.8,0,12.91762,77.666429
REST_0113,Urban Bowl 113,Sarjapur Road,Fast Food,21,4.7,1,12.93656,77.610253
REST_0114,Fresh Dhaba 114,Rajajinagar,Street Food,31,4.8,1,12.941437,77.658001
REST_0115,Desi Bowl 115,Hebbal,Fast Food,34,3.0,0,13.008908,77.667495
REST_0116,Quick Express 116,MG Road,Continental,25,4.0,0,12.949866,77.652575
REST_0117,Quick Palace 117,Rajajinagar,Italian,30,3.5,0,12.957446,77.671203
REST_0118,Royal Palace 118,Hebbal,Continental,30,4.8,0,13.048262,77.658479
REST_0119,Quick Kitchen 119,Electronic City,Chinese,24,4.9,0,12.915055,77.669008
REST_0120,Tasty Grill 120,Whitefield,North Indian,31,3.3,0,13.03064,77.693991
REST_0121,Quick Hub 121,HSR Layout,Biryani,27,4.4,0,12.997475,77.670353
REST_0122,Green Palace 122,Basavanagudi,Continental,35,4.1,0,12.992619,77.546954
REST_0123,Fresh Bites 123,Banashankari,Desserts,11,4.5,1,12.915076,77.533273
REST_0124,Royal Kitchen 124,Banashankari,Biryani,33,3.1,0,12.95377,77.586137
REST_0125,Tasty Cafe 125,BTM Layout,Thai,29,4.6,0,12.911845,77.674168
REST_0126,Fresh Grill 126,Brigade Road,Thai,12,3.5,0,12.995686,77.591914
REST_0127,Quick Hub 127,Koramangala,Street Food,13,3.1,0,13.041785,77.69753
REST_0128,Green Hub 128,Banashankari,Continental,35,3.6,0,13.049906,77.670667
REST_0129,Fresh Cafe 129,Whitefield,Thai,19,4.1,0,13.048904,77.559046
REST_0130,Urban Kitchen 130,Rajajinagar,Thai,35,4.4,0,13.0117,77.509809
REST_0131,Quick Hub 131,Brigade Road,Italian,27,4.6,0,12.92852,77.550125
REST_0132,Spice Kitchen 132,Electronic City,Fast Food,33,3.9,0,12.986936,77.646472
REST_0133,Urban Palace 133,HSR Layout,Desserts,13,3.4,0,13.017977,77.675292
REST_0134,Tasty Bowl 134,Malleshwaram,Fast Food,34,3.3,0,13.037107,77.688838
REST_0135,Desi Bites 135,Banashankari,Continental,10,3.3,0,13.044975,77.672028
REST_0136,Tasty Palace 136,Rajajinagar,South Indian,33,3.8,0,12.939669,77.524718
REST_0137,Urban Dhaba 137,Malleshwaram,Desserts,34,4.3,0,12.955721,77.634967
REST_0138,Royal Dhaba 138,Sarjapur Road,Street Food,18,4.8,0,12.909483,77.664771
REST_0139,Green Bites 139,Banashankari,Chinese,9,4.9,0,12.973894,77.519438
REST_0140,Golden Cafe 140,Basavanagudi,Continental,19,4.3,0,13.011471,77.689195
REST_0141,Hungry Express 141,Hebbal,Desserts,28,3.2,0,12.973402,77.581623
REST_0142,Royal Palace 142,Yelahanka,Italian,22,3.9,0,12.935417,77.572537
REST_0143,Tasty Palace 143,Malleshwaram,North Indian,20,3.6,0,13.045231,77.689802
REST_0144,Spice Corner 144,Bellandur,Thai,8,3.1,0,12.950026,77.697764
REST_0145,Fresh Bites 145,MG Road,Street Food,14,4.2,0,13.021958,77.5466
REST_0146,Hungry Kitchen 146,Electronic City,Fast Food,35,5.0,1,12.981032,77.659703
REST_0147,Royal Express 147,Whitefield,North Indian,19,4.6,0,12.948566,77.534849
REST_0148,Golden Cafe 148,Indiranagar,Street Food,11,4.5,0,13.016703,77.602648
REST_0149,Quick Bowl 149,Whitefield,Italian,27,3.1,0,13.017484,77.673396
REST_0150,Urban Grill 150,Bommanahalli,North Indian,9,5.0,1,12.963941,77.521592
REST_0151,Spice Bites 151,Bellandur,Biryani,27,3.3,0,12.918929,77.624863
REST_0152,Tasty Palace 152,MG Road,Desserts,27,4.1,0,12.968057,77.621085
REST_0153,Spice Bowl 153,Whitefield,Italian,21,3.9,0,12.934274,77.567786
REST_0154,Green Cafe 154,Bellandur,South Indian,18,3.9,0,12.999766,77.57486
REST_0155,Quick Bites 155,Electronic City,South Indian,34,3.2,0,12.964781,77.648918
REST_0156,Golden Bowl 156,Malleshwaram,North Indian,26,4.9,1,13.000502,77.582162
REST_0157,Royal Hub 157,Hebbal,Thai,17,3.7,0,12.986688,77.542548
REST_0158,Fresh Bites 158,Sarjapur Road,Biryani,35,4.1,0,12.917233,77.555714
REST_0159,Green Bowl 159,BTM Layout,Thai,27,4.3,0,12.983511,77.621799
REST_0160,Royal Express 160,Yelahanka,Fast Food,30,4.5,1,12.952654,77.536281
REST_0161,Hungry Cafe 161,Electronic City,South Indian,12,4.5,1,12.913764,77.606097
REST_0162,Green Grill 162,Rajajinagar,Biryani,13,3.7,0,13.008239,77.655367
REST_0163,Hungry Bites 163,MG Road,North Indian,12,3.3,0,12.992676,77.634794
REST_0164,Quick Cafe 164,Yelahanka,Continental,27,3.9,0,12.940975,77.650989
REST_0165,Desi Cafe 165,Whitefield,South Indian,17,4.4,0,12.98897,77.605387
REST_0166,Royal Corner 166,Banashankari,Desserts,27,3.1,0,12.930663,77.689065
REST_0167,Urban Hub 167,Electronic City,Biryani,11,3.0,0,13.012052,77.535139
REST_0168,Tasty Corner 168,Rajajinagar,Street Food,25,4.7,1,12.910811,77.672353
REST_0169,Green Kitchen 169,Indiranagar,Continental,10,4.7,1,12.98601,77.6419
REST_0170,Urban Bites 170,Hebbal,Desserts,8,4.9,0,13.042142,77.592019
REST_0171,Spice Cafe 171,Malleshwaram,South Indian,15,3.9,0,12.960067,77.515729
REST_0172,Desi Corner 172,Banashankari,Biryani,32,3.3,0,12.976572,77.522805
REST_0173,Fresh Palace 173,Bommanahalli,Biryani,31,4.9,1,12.922153,77.520561
REST_0174,Fresh Express 174,Yelahanka,Thai,12,4.5,1,12.926572,77.65457
REST_0175,Quick Dhaba 175,Sarjapur Road,Thai,22,4.4,0,13.032307,77.628598
REST_0176,Desi Palace 176,Brigade Road,Chinese,22,3.1,0,12.966331,77.560564
REST_0177,Hungry Kitchen 177,Yelahanka,Biryani,24,3.1,0,12.969261,77.507521
REST_0178,Urban Bites 178,Malleshwaram,South Indian,27,4.2,0,12.957672,77.616066
REST_0179,Quick Dhaba 179,Indiranagar,Italian,18,4.2,0,12.975205,77.691544
REST_0180,Spice Palace 180,Bellandur,South Indian,24,4.3,0,12.905871,77.641524
REST_0181,Tasty Bowl 181,Bellandur,Thai,13,3.7,0,13.037691,77.577483
REST_0182,Hungry Kitchen 182,JP Nagar,Biryani,10,3.7,0,12.983694,77.577313
REST_0183,Hungry Express 183,Yelahanka,Biryani,10,4.2,0,12.921214,77.569964
REST_0184,Golden Dhaba 184,Rajajinagar,South Indian,17,4.1,0,12.996524,77.565695
REST_0185,Tasty Bites 185,Electronic City,Desserts,24,3.7,0,12.95439,77.536053
REST_0186,Desi Grill 186,Jayanagar,Italian,15,5.0,0,12.944369,77.657624
REST_0187,Tasty Bowl 187,Bommanahalli,North Indian,29,3.7,0,13.014946,77.52621
REST_0188,Golden Express 188,Rajajinagar,Chinese,34,4.4,0,12.993711,77.680531
REST_0189,Royal Cafe 189,Bellandur,Biryani,29,4.4,0,13.045438,77.622119
REST_0190,Fresh Bowl 190,Bellandur,Italian,17,4.9,1,13.035596,77.538803
REST_0191,Quick Grill 191,MG Road,Fast Food,32,3.8,0,12.979119,77.693254
REST_0192,Hungry Express 192,Jayanagar,Fast Food,9,4.3,0,13.031118,77.610908
REST_0193,Tasty Bites 193,Whitefield,Fast Food,10,4.5,0,13.035796,77.52947
REST_0194,Spice Corner 194,Hebbal,Continental,19,4.9,0,12.959468,77.574792
REST_0195,Spice Palace 195,Rajajinagar,Italian,8,3.6,0,12.914862,77.642941
REST_0196,Golden Express 196,JP Nagar,North Indian,17,4.8,0,13.024667,77.651768
REST_0197,Quick Dhaba 197,Sarjapur Road,North Indian,10,3.0,0,12.932348,77.529904
REST_0198,Tasty Cafe 198,Brigade Road,South Indian,32,3.6,0,12.945173,77.50955
REST_0199,Hungry Grill 199,Hebbal,South Indian,11,4.7,0,12.980408,77.626391
REST_0200,Fresh Express 200,MG Road,Fast Food,21,3.0,0,12.952922,77.614133
REST_0201,Spice Bowl 201,Marathahalli,Biryani,10,4.9,1,13.017962,77.601525
REST_0202,Green Grill 202,Koramangala,North Indian,28,3.8,0,12.955995,77.649463
REST_0203,Spice Palace 203,Malleshwaram,Italian,31,4.3,0,12.91555,77.616381
REST_0204,Golden Kitchen 204,JP Nagar,Biryani,25,3.7,0,12.996419,77.666077
REST_0205,Quick Express 205,Bellandur,Chinese,10,4.4,0,13.041541,77.507397
REST_0206,Royal Corner 206,Jayanagar,North Indian,18,4.9,1,13.048368,77.608606
REST_0207,Royal Corner 207,Yelahanka,Fast Food,19,4.7,0,12.99836,77.554643
REST_0208,Green Cafe 208,Malleshwaram,Continental,20,3.7,0,12.928023,77.638414
REST_0209,Tasty Hub 209,Malleshwaram,South Indian,31,3.8,0,12.964591,77.69902
REST_0210,Tasty Hub 210,Marathahalli,Biryani,11,3.2,0,12.999138,77.561299
REST_0211,Green Express 211,Brigade Road,Continental,19,3.9,0,13.009022,77.682321
REST_0212,Green Hub 212,Brigade Road,North Indian,10,4.3,0,12.960932,77.602617
REST_0213,Royal Express 213,Marathahalli,Thai,29,4.6,0,12.910085,77.655703
REST_0214,Desi Cafe 214,Malleshwaram,Thai,9,4.2,0,13.001859,77.689765
REST_0215,Quick Bites 215,Malleshwaram,Thai,12,4.1,0,12.959705,77.629912
REST_0216,Spice Kitchen 216,BTM Layout,Chinese,23,4.0,0,13.037031,77.523552
REST_0217,Quick Corner 217,Yelahanka,Thai,17,4.4,0,13.049794,77.540036
REST_0218,Spice Grill 218,Electronic City,Chinese,30,3.9,0,12.913169,77.636386
REST_0219,Desi Bites 219,JP Nagar,Street Food,25,3.6,0,12.944994,77.531501
REST_0220,Desi Bowl 220,Marathahalli,Italian,11,5.0,1,12.93551,77.598804
REST_0221,Tasty Dhaba 221,Malleshwaram,Biryani,22,4.6,1,12.991792,77.517243
REST_0222,Green Grill 222,Banashankari,Street Food,21,4.5,1,12.911063,77.694476
REST_0223,Quick Grill 223,HSR Layout,Street Food,19,3.3,0,13.024358,77.610261
REST_0224,Golden Express 224,MG Road,Desserts,24,4.8,0,12.918624,77.530603
REST_0225,Golden Palace 225,Marathahalli,Italian,19,4.9,1,12.942607,77.515772
REST_0226,Tasty Hub 226,Jayanagar,Chinese,28,3.6,0,12.980022,77.600515
REST_0227,Hungry Dhaba 227,Marathahalli,Chinese,13,4.3,0,13.008095,77.621028
REST_0228,Royal Kitchen 228,MG Road,South Indian,9,4.9,1,12.939698,77.542162
REST_0229,Green Dhaba 229,MG Road,North Indian,23,4.8,1,12.996286,77.560419
REST_0230,Green Hub 230,BTM Layout,Continental,10,4.4,0,12.923712,77.583124
REST_0231,Fresh Palace 231,Bellandur,Thai,12,3.6,0,13.007754,77.64684
REST_0232,Green Express 232,Malleshwaram,Biryani,24,4.1,0,12.947867,77.593295
REST_0233,Quick Corner 233,Yelahanka,Chinese,11,3.1,0,13.041808,77.672833
REST_0234,Fresh Express 234,Hebbal,Biryani,26,4.4,0,12.928475,77.531868
REST_0235,Quick Grill 235,Bommanahalli,Fast Food,23,3.0,0,13.041785,77.601089
REST_0236,Fresh Dhaba 236,BTM Layout,Biryani,9,3.1,0,12.974234,77.676468
REST_0237,Urban Bowl 237,Sarjapur Road,North Indian,35,3.2,0,12.92009,77.552895
REST_0238,Green Palace 238,Malleshwaram,North Indian,20,3.1,0,12.984273,77.572505
REST_0239,Spice Cafe 239,Banashankari,Street Food,22,4.5,0,13.048364,77.63608
REST_0240,Golden Bites 240,Whitefield,Desserts,19,4.6,0,13.040842,77.650993
REST_0241,Hungry Bowl 241,Jayanagar,Desserts,24,3.1,0,12.905837,77.642718
REST_0242,Tasty Grill 242,Sarjapur Road,Chinese,27,4.8,0,13.039705,77.563706
REST_0243,Hungry Hub 243,Rajajinagar,Thai,18,4.0,0,12.976457,77.597969
REST_0244,Urban Grill 244,MG Road,North Indian,19,3.7,0,12.916441,77.583308
REST_0245,Royal Dhaba 245,Banashankari,Continental,16,4.9,1,13.016424,77.615527
REST_0246,Hungry Grill 246,Indiranagar,Chinese,24,4.3,0,12.99296,77.668233
REST_0247,Fresh Kitchen 247,Electronic City,Thai,30,3.2,0,12.902841,77.562738
REST_0248,Green Corner 248,Electronic City,Desserts,24,4.5,1,13.030923,77.647167
REST_0249,Golden Bowl 249,Indiranagar,Italian,25,3.7,0,12.999334,77.605095
REST_0250,Golden Grill 250,JP Nagar,Street Food,18,4.1,0,13.00138,77.673531
REST_0251,Hungry Grill 251,Yelahanka,Italian,15,3.6,0,12.944775,77.688297
REST_0252,Urban Corner 252,Banashankari,Continental,18,4.0,0,12.984073,77.686897
REST_0253,Urban Bites 253,Yelahanka,Thai,29,4.1,0,13.034364,77.578906
REST_0254,Golden Hub 254,Malleshwaram,North Indian,17,4.9,0,13.038601,77.631194
REST_0255,Fresh Corner 255,Sarjapur Road,Street Food,16,4.9,1,12.920591,77.623135
REST_0256,Fresh Corner 256,MG Road,North Indian,29,4.8,0,12.934925,77.52004
REST_0257,Quick Bites 257,JP Nagar,Chinese,8,4.9,1,12.923691,77.630579
REST_0258,Quick Corner 258,Sarjapur Road,Fast Food,18,3.6,0,12.908874,77.653745
REST_0259,Fresh Bowl 259,MG Road,North Indian,13,3.8,0,13.025641,77.686785
REST_0260,Green Grill 260,Indiranagar,Chinese,31,4.9,1,13.031511,77.501853
REST_0261,Hungry Bites 261,MG Road,Biryani,17,3.9,0,12.996197,77.604864
REST_0262,Tasty Grill 262,Electronic City,Fast Food,14,4.6,0,13.009668,77.629657
REST_0263,Royal Palace 263,Marathahalli,Fast Food,26,4.3,0,12.928974,77.622191
REST_0264,Green Bowl 264,Rajajinagar,Biryani,10,3.8,0,12.914308,77.696337
REST_0265,Desi Corner 265,Sarjapur Road,North Indian,16,3.8,0,12.96701,77.553399
REST_0266,Urban Dhaba 266,JP Nagar,Thai,8,3.5,0,12.953933,77.547261
REST_0267,Quick Hub 267,Whitefield,Chinese,20,4.4,0,13.038466,77.67756
REST_0268,Spice Hub 268,Banashankari,Biryani,27,3.4,0,13.043604,77.595636
REST_0269,Hungry Palace 269,Bellandur,Desserts,30,4.1,0,12.970624,77.607504
REST_0270,Fresh Dhaba 270,Jayanagar,South Indian,24,3.9,0,13.005565,77.515621
REST_0271,Spice Kitchen 271,MG Road,Street Food,24,3.4,0,12.980499,77.532907
REST_0272,Quick Bites 272,Bommanahalli,Italian,30,4.2,0,12.913641,77.602075
REST_0273,Quick Express 273,Indiranagar,Street Food,21,3.9,0,12.908661,77.592476
REST_0274,Royal Cafe 274,Banashankari,Fast Food,34,3.0,0,12.932685,77.514606
REST_0275,Desi Bites 275,Hebbal,Street Food,9,4.9,0,13.040066,77.506347
REST_0276,Golden Express 276,Hebbal,Desserts,19,5.0,0,13.030443,77.681353
REST_0277,Spice Bowl 277,Rajajinagar,Chinese,28,4.7,0,13.048927,77.578612
REST_0278,Fresh Kitchen 278,Electronic City,North Indian,17,3.9,0,13.007864,77.584826
REST_0279,Fresh Corner 279,Rajajinagar,Continental,19,3.3,0,12.928272,77.675042
REST_0280,Royal Cafe 280,Whitefield,Thai,32,4.9,1,12.9361,77.513458
REST_0281,Royal Grill 281,Brigade Road,Thai,29,4.4,0,12.907301,77.648108
REST_0282,Quick Corner 282,Rajajinagar,Street Food,14,4.5,1,12.92102,77.698697
REST_0283,Hungry Palace 283,BTM Layout,Thai,27,4.5,1,12.935536,77.675252
REST_0284,Fresh Cafe 284,Bommanahalli,Fast Food,16,3.1,0,13.042278,77.675943
REST_0285,Green Bowl 285,Marathahalli,Continental,9,4.9,1,13.000701,77.657161
REST_0286,Green Cafe 286,JP Nagar,Chinese,17,3.8,0,13.013162,77.594704
REST_0287,Urban Express 287,BTM Layout,Continental,9,4.1,0,13.045168,77.611457
REST_0288,Green Corner 288,Electronic City,Fast Food,14,3.7,0,12.911861,77.589957
REST_0289,Spice Bowl 289,Malleshwaram,Italian,9,3.5,0,13.001051,77.620584
REST_0290,Fresh Dhaba 290,HSR Layout,Street Food,14,4.0,0,13.030421,77.566593
REST_0291,Fresh Corner 291,Koramangala,South Indian,31,5.0,0,12.936389,77.62088
REST_0292,Green Corner 292,Jayanagar,Street Food,18,4.6,0,12.980048,77.571852
REST_0293,Desi Bowl 293,Yelahanka,Continental,22,3.2,0,13.047198,77.593898
REST_0294,Fresh Palace 294,JP Nagar,Biryani,21,3.1,0,13.029613,77.64825
REST_0295,Urban Bowl 295,Koramangala,Thai,26,4.4,0,12.944279,77.539238
REST_0296,Green Dhaba 296,BTM Layout,Italian,23,4.1,0,13.04152,77.567513
REST_0297,Quick Grill 297,Sarjapur Road,Chinese,31,4.6,0,13.008047,77.597663
REST_0298,Royal Bowl 298,Basavanagudi,North Indian,34,4.7,1,13.000232,77.652868
REST_0299,Golden Corner 299,Hebbal,South Indian,30,3.3,0,12.932808,77.591202
REST_0300,Hungry Dhaba 300,Indiranagar,Continental,29,4.0,0,12.900992,77.610329
REST_0301,Royal Bowl 301,Koramangala,Fast Food,25,5.0,0,13.021974,77.634807
REST_0302,Spice Bites 302,Marathahalli,Street Food,12,3.5,0,12.992967,77.550484
REST_0303,Urban Cafe 303,Malleshwaram,South Indian,19,4.9,0,12.936481,77.639447
REST_0304,Spice Kitchen 304,Banashankari,South Indian,20,3.8,0,12.982905,77.511223
REST_0305,Golden Bites 305,Koramangala,Continental,35,3.9,0,13.017656,77.613171
REST_0306,Tasty Kitchen 306,Whitefield,Italian,14,4.8,1,12.985018,77.554219
